sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
10,Kozhikkode,314.23,233.19,74.21,81.04,Semi Critical
11,Kollam,338.1,284.81,84.24,53.28,Safe
12,Kasargod,317.05,211.23,66.63,59.56,Safe
14,Palakkad,584.17,439.74,75.28,53.81,Safe
1,Agar Malwa,414.48,113.01,27.27,104.43,Over Exploited
3,Anuppur,282.38,238.54,84.48,43.84,Safe
4,Ashoknagar,369.93,218.72,59.12,151.21,Over Exploited
6,Barwani,532.83,364.79,68.46,106.78,Over Exploited
7,Betul,1001.4,748.01,74.7,253.39,Over Exploited
10,Burhanpur,342.27,163.62,47.8,178.65,Over Exploited
11,Chhatarpur,837.93,454.06,54.19,383.86,Over Exploited
12,Chhindwara,1016.71,700.19,68.87,215.14,Over Exploited
13,Damoh,376.3,315.74,83.91,60.55,Safe
15,Dewas,834.78,452.55,54.21,120.82,Over Exploited
18,Guna,848.7,657.49,77.47,191.2,Over Exploited
19,Gwalior,771.82,719.49,93.22,52.33,Safe
21,Hoshangabad,1774.29,1575.69,88.81,198.6,Over Exploited
23,Jabalpur,611.77,578.24,94.52,33.52,Safe
24,Jhabua,258.79,237.54,91.79,21.25,Safe
26,Khandwa,1138.8,1014.34,89.07,124.46,Over Exploited
27,Khargone,952.85,891.73,93.59,61.12,Safe
31,Narsinghpur,1197.78,976.36,81.51,221.42,Over Exploited
35,Raisen,919.75,823.63,89.55,96.12,Critical
38,Rewa,515.58,430.12,83.42,85.46,Semi Critical
40,Satna,740.89,400.32,54.03,340.57,Over Exploited
45,Sheopur,513.52,419.06,81.61,94.45,Critical
46,Shivpuri,827.07,366.55,44.32,460.53,Over Exploited
52,Vidisha,902.69,672.89,74.54,229.8,Over Exploited
1,Ahmednagar,1528.88,466.88,30.54,560.66,Over Exploited
2,Akola,368.57,312.12,84.69,56.44,Safe
3,Amravati,778.22,383.78,49.31,231.93,Over Exploited
4,Aurangabad,1125.55,1076.42,95.64,49.12,Safe
7,Buldhana,863.21,536.04,62.10,234.24,Over Exploited
13,Jalgaon,1369.88,237.66,17.35,947.59,Over Exploited
22,Nashik,1897.71,1133.76,59.74,425.97,Over Exploited
26,Pune,1804.59,1107.45,61.37,555.12,Over Exploited
29,Sangli,1317.41,1203.87,91.38,113.54,Over Exploited
30,Satara,1046.98,794.39,75.87,252.59,Over Exploited
32,Solapur,1388.55,302.28,21.77,890.13,Over Exploited
1,Angul,547.06,516.31,94.38,30.75,Safe
2,Balasore,1308.44,1242.57,94.97,65.87,Safe
13,Jajpur,522.63,435.01,83.24,87.61,Semi Critical
14,Jharsuguda,194.89,156.06,80.08,38.83,Safe
19,Khurda,427.63,284.27,66.48,143.36,Over Exploited
24,Nayagarh,358.48,318.15,88.75,40.32,Safe
25,Nuapada,310.3,221.96,71.53,88.34,Semi Critical
1,Fazilka,864.44,551.47,63.79,54.88,Safe
2,Pathankot,439.41,361.37,82.24,78.04,Semi Critical
6,Hoshiarpur,815.47,64.64,7.93,246.74,Over Exploited
12,Mansa,618.12,182.35,29.5,219.79,Over Exploited
13,Bathinda,1090.06,382.3,35.07,175.57,Over Exploited
16,Rupnagar,395.4,153.57,38.84,75.72,Semi Critical
20,Sbs Nagar,498.8,26.66,5.34,117.9,Over Exploited
23,Gurdaspur,1525.77,82.96,5.44,34,Safe
5,Bikaner,281.05,75.72,26.94,38.82,Safe
15,Tonk,400.87,53.75,13.41,70.81,Semi Critical
19,Dungarpur,202.32,142.21,70.29,60.11,Safe
23,Bundi,319.2,43.98,13.78,77.82,Semi Critical
25,Barmer,352.51,29.49,8.37,11.12,Safe
28,Hanumangarh,205.44,168.19,81.87,37.25,Safe
29,Banswara,208.55,113.02,54.19,80.36,Semi Critical
31,Pali,308.28,3.31,1.07,10.98,Safe
1,Ariyalur,343.40,313.27,91.23,30.13,Safe
2,Chengalpattu,565.84,241.10,42.61,324.74,Over Exploited
3,Chennai,92.97,20.91,22.49,8.57,Safe
4,Coimbatore,544.22,116.08,21.33,23.01,Safe
5,Cuddalore,1009.41,538.93,53.39,57.37,Safe
6,Dharmapuri,430.30,82.74,19.23,101.86,Over Exploited
7,Dindigul,560.88,36.66,6.54,126.14,Over Exploited
8,Erode,663.70,243.43,36.68,248.60,Over Exploited
9,Kallakurichchi,610.34,238.80,39.13,157.53,Over Exploited
13,Krishnagiri,438.86,79.86,18.20,93.16,Critical
14,Madurai,733.67,421.12,57.40,214.53,Over Exploited
17,Namakkal,542.17,20.71,3.82,52.56,Safe
19,Pudukkottai,872.95,740.22,84.80,132.73,Over Exploited
21,Ranipet,258.30,0.00,0.00,184.80,Over Exploited
24,Tenkasi,523.84,211.63,40.40,133.33,Over Exploited
27,Theni,282.66,145.01,51.30,85.85,Semi Critical
29,Thoothukudi,620.13,564.83,91.08,55.31,Safe
30,Tiruchirappalli,724.93,402.03,55.46,43.74,Safe
31,Tirunelveli,757.89,680.08,89.73,77.80,Semi Critical
33,Tiruppur,559.44,222.08,39.70,135.24,Over Exploited
34,Tiruvallur,786.56,717.92,91.27,68.64,Safe
35,Tiruvannamalai,1101.46,270.87,24.59,482.00,Over Exploited
37,Villupuram,934.25,337.31,36.10,107.85,Over Exploited
38,Virudhunagar,747.36,354.94,47.49,345.06,Over Exploited
1,Jagtial,513.05,474.96,92.58,38.09,Safe
3,Kamareddy,618.70,566.62,91.58,52.08,Safe
4,Medak,439.47,297.17,67.62,126.53,Over Exploited
6,Mahabubnagar,315.28,175.94,55.80,119.39,Over Exploited
7,Narayanpet,259.89,232.00,89.27,27.89,Safe
10,Khammam,935.87,805.10,86.03,102.98,Over Exploited
12,Nalgonda,1093.40,899.51,82.27,141.52,Over Exploited
14,Rangareddy,521.59,378.49,72.56,110.06,Over Exploited
15,Rajanna Siricilla,458.07,410.07,89.52,48.00,Safe
19,Peddapalle,447.55,408.05,91.18,39.49,Safe
20,Bhadradri Kothagudem,987.16,856.57,86.77,115.42,Over Exploited
21,Jangaon,345.59,306.02,88.55,14.60,Safe
22,Jogulamba Gadwal,357.61,340.52,95.22,17.10,Safe
23,Mahabubabad,561.58,500.13,89.06,61.45,Safe
25,Medchal Malkajgiri,94.65,34.39,36.33,37.49,Safe
26,Nagarkurnool,729.05,682.61,93.63,46.44,Safe
27,Nizamabad,944.27,742.36,78.62,201.00,Over Exploited
28,Sangareddy,375.17,314.09,83.72,43.13,Safe
29,Siddipet,606.17,437.05,72.10,141.90,Over Exploited
32,Hanumakonda,476.54,370.19,77.68,106.35,Over Exploited
33,Yadadri Bhuvanagiri,735.33,384.52,52.29,140.84,Over Exploited
2,Saharanpur,1372.2,296.3,21.59,593.87,Over Exploited
6,Chandauli,514.22,467.68,90.95,46.54,Safe
7,Mirzapur,570.6,451.05,79.05,73.84,Semi Critical
10,Kanpur Dehat,735.6,457.37,62.18,278.24,Over Exploited
11,Chitrakoot,400.47,89.32,22.3,204.43,Over Exploited
14,Jaunpur,1191.75,816.57,68.52,375.18,Over Exploited
18,Kaushambi,462.67,138.76,29.99,258.72,Over Exploited
24,Hathras,654.32,160.37,24.51,228.75,Over Exploited
25,Budaun,761.51,202.87,26.64,368.98,Over Exploited
26,Bulandshahar,1453.93,89.78,6.18,552.03,Over Exploited
27,Amethi,811.1,716.59,88.35,94.51,Critical
28,Bareilly,1142.4,922.26,80.73,147.8,Over Exploited
30,Jhansi,673.59,428.46,63.61,245.13,Over Exploited
31,Aligarh,912.87,393.5,43.11,442.43,Over Exploited
32,Bijnor,1351.19,971.76,71.92,261.37,Over Exploited
35,Kannauj,542.51,320.25,59.03,101.11,Over Exploited
36,Etah,784.39,276.63,35.27,507.76,Over Exploited
37,Varanasi,466.31,123.57,26.5,165.4,Over Exploited
38,Lucknow,766.35,624.38,81.48,66.21,Safe
47,Pratapgarh,1295.28,545.83,42.14,439.26,Over Exploited
49,Mainpuri,862.35,548.21,63.57,269.76,Over Exploited
51,Meerut,776.91,340.25,43.8,322.52,Over Exploited
53,Fatehpur,1066.03,682.27,64,268.38,Over Exploited
54,Kasganj,665.87,420.89,63.21,244.99,Over Exploited
57,Sambhal,434.39,58.79,13.53,198.47,Over Exploited
63,Kanpur Nagar,800.26,214.48,26.8,446.73,Over Exploited
65,Ghazipur,956.55,888.28,92.86,68.26,Safe
66,Sonbhadra,517.68,478.77,92.48,38.91,Safe
67,Hamirpur,413.46,289.59,70.04,123.87,Over Exploited
69,Farrukhabad,436.02,214.31,49.15,221.7,Over Exploited
72,Muzaffarnagar,1028.13,472.83,45.99,213.77,Over Exploited
73,Prayagraj,1289.86,772.24,59.87,413.72,Over Exploited
74,Rampur,742.88,362.21,48.76,380.67,Over Exploited
2,Haridwar,435.576,236.4125,54.27,199.1635,Over Exploited
3,Nainital,270.3234,158.006,58.45,112.3174,Over Exploited
4,Udhamsingh Nagar,747.745,679.126,90.82,68.619,Safe
1,Lakshadweep,5.7,4.31,75.6,1.39,Safe
1,Puducherry,134.98,2.08,1.54,108.82,Over Exploited
1,Sri Potti Sriramulu Nellore,9953.26,9809.06,98.55,144.2,Over Exploited
5,Sri Sathya Sai,7636.24,5787.13,75.79,931.28,Over Exploited
11,Palnadu,6516.56,5641.54,86.57,539.1,Over Exploited
13,Y.S.R Kadapa,8808.08,8050.04,91.39,758.04,Over Exploited
14,Ananthapuramu,9464.79,9216.06,97.37,248.73,Over Exploited
15,Chittoor,6004.51,4223.14,70.33,1781.37,Over Exploited
16,East Godavari,2545.53,1831.91,71.97,713.61,Over Exploited
19,Kurnool,7522.47,7191.65,95.6,330.82,Over Exploited
20,Prakasam,11381.9,8550.75,75.13,1898.51,Over Exploited
21,Visakhapatnam,1001.67,812.09,81.07,189.58,Over Exploited
23,Annamayya,6660.66,6248.08,93.81,412.58,Over Exploited
6,Kamrup (M),659.12,458.7,69.59,200.42,Over Exploited
1,Begusarai,1891.31,1595,84.33,296.31,Over Exploited
4,Nawada,2456.58,1835.76,74.73,620.82,Over Exploited
7,Kaimur,2980.4,2769.86,92.94,210.54,Over Exploited
9,Bhojpur,2275.3,1798.89,79.06,476.41,Over Exploited
17,Gaya,4909.78,4108.82,83.69,800.96,Over Exploited
19,Jehanabad,932.57,340.83,36.55,334.92,Over Exploited
27,Muzaffarpur,3042.77,1979.2,65.05,943.6,Over Exploited
28,Nalanda,2316.46,915.11,39.5,1245.12,Over Exploited
29,Patna,3200.84,2424.36,75.74,602.26,Over Exploited
1,Balod,2614.7,1292.95,49.45,984.95,Over Exploited
7,Bilaspur,3175.95,1572.65,49.52,1603.3,Over Exploited
9,Dhamtari,2487.06,1215.81,48.89,1271.25,Over Exploited
10,Durg,2319.99,762.33,32.86,1557.66,Over Exploited
11,Gariaband,2631.4,2036.1,77.38,595.3,Over Exploited
15,Kabirdham,4239.63,3123.17,73.67,1116.46,Over Exploited
17,Kanker,1490.38,689.15,46.24,801.23,Over Exploited
21,Mahasamund,4597.2,3142.2,68.35,1455,Over Exploited
26,Raigarh,3859.19,3348.89,86.78,510.3,Over Exploited
28,Rajnandgaon,2597.32,747.87,28.79,1849.45,Over Exploited
"Total
106078.71",88869.46,83.78,14090.19,13.28,3119.06,Over Exploited
1,Ahmedabad,7077.26,2993.62,42.3,1275.94,Over Exploited
2,Amreli,7478.47,6630.87,88.67,847.6,Over Exploited
8,Botad,2484.8,1588.07,63.91,896.73,Over Exploited
12,Devbhumi Dwarka,4206.37,2276.91,54.13,1929.46,Over Exploited
15,Jamnagar,6423.48,5856.34,91.17,567.15,Over Exploited
20,Mahisagar,2459.01,2197.14,89.35,261.87,Over Exploited
22,Narmada,2509.95,1950.65,77.72,559.3,Over Exploited
27,Rajkot,7762.59,3795.02,48.89,3967.57,Over Exploited
28,Sabarkantha,4073.78,2807.59,68.92,858.1,Over Exploited
29,Surat,4212.4,3573.31,84.83,195.89,Over Exploited
30,Surendranagar,9276.07,8753.08,94.36,522.99,Over Exploited
32,Vadodara,4063.99,2585.68,63.62,231.65,Over Exploited
4,Jind,2750.91,684.67,24.89,215.5,Over Exploited
16,Palwal,1358.26,558.47,41.12,300.54,Over Exploited
2,Idukki,1088.91,854.63,78.48,234.28,Over Exploited
5,Thiruvananthapuram,1942.97,1452.78,74.77,490.19,Over Exploited
6,Thrissur,2366.85,1977.08,83.53,389.77,Over Exploited
8,Kannur,2323.96,2002.78,86.18,321.18,Over Exploited
9,Malappuram,2541.81,1327.05,52.21,1214.76,Over Exploited
10,Kozhikkode,1661.8,1188.82,71.54,472.98,Over Exploited
11,Kollam,2112,1837.06,86.98,274.94,Over Exploited
12,Kasargod,1648.3,1058.18,64.2,331.36,Over Exploited
14,Palakkad,2982.28,2084.06,69.88,379.6,Over Exploited
1,Agar Malwa,2515.76,654.46,26.01,700.83,Over Exploited
3,Anuppur,2942,2602,88.44,340,Over Exploited
4,Ashoknagar,4622.44,2462.59,53.27,2159.85,Over Exploited
6,Barwani,3668.31,2646.15,72.14,730.36,Over Exploited
7,Betul,8564.5,6663.5,77.8,1901,Over Exploited
10,Burhanpur,2570.5,1400.5,54.48,1170,Over Exploited
11,Chhatarpur,7904.34,3938.28,49.82,3966.06,Over Exploited
12,Chhindwara,8847.77,6631.89,74.96,1580.72,Over Exploited
13,Damoh,4746.19,3842.82,80.97,903.37,Over Exploited
15,Dewas,5770.82,3313.7,57.42,876.31,Over Exploited
18,Guna,6175.14,4992.82,80.85,1182.32,Over Exploited
19,Gwalior,4283,3859.65,90.12,423.35,Over Exploited
21,Hoshangabad,5583.52,4914.52,88.02,669,Over Exploited
23,Jabalpur,4438.68,4070.28,91.7,368.4,Over Exploited
24,Jhabua,3112.53,2699.53,86.73,413,Over Exploited
26,Khandwa,5814.46,4953.46,85.19,861,Over Exploited
27,Khargone,6568.97,6074.57,92.47,494.4,Over Exploited
1,Ahmednagar,15624.75,5172.01,33.10,5972.85,Over Exploited
2,Akola,5141.65,4458.18,86.71,683.47,Over Exploited
3,Amravati,8392.39,4219.42,50.28,2045.13,Over Exploited
4,Aurangabad,9501.74,9101.75,95.79,399.99,Over Exploited
7,Buldhana,8206.15,5068.16,61.76,2079.54,Over Exploited
13,Jalgaon,11378.83,1777.93,15.62,7824.14,Over Exploited
22,Nashik,13488.56,7485.45,55.49,3605.88,Over Exploited
26,Pune,12757.28,6839.01,53.61,4431.36,Over Exploited
29,Sangli,8427.58,7678.05,91.11,749.53,Over Exploited
30,Satara,8775.07,6080.85,69.30,2694.22,Over Exploited
1,Angul,5085.85,4797.19,94.32,288.66,Over Exploited
2,Balasore,3564.77,3299.7,92.56,265.07,Over Exploited
13,Jajpur,2662.13,2333.95,87.67,328.18,Over Exploited
14,Jharsuguda,2118.42,1699.25,80.21,419.17,Over Exploited
19,Khurda,2607.17,1607.13,61.64,1000.04,Over Exploited
24,Nayagarh,2578.45,2381.27,92.35,197.18,Over Exploited
25,Nuapada,3083.04,2241.38,72.7,841.66,Over Exploited
1,Fazilka,2739.54,1933.1,70.56,328.37,Over Exploited
2,Pathankot,781.36,538.44,68.91,242.92,Over Exploited
6,Hoshiarpur,3368.71,225.73,6.7,1162.94,Over Exploited
12,Mansa,2168.62,682.61,31.48,725.9,Over Exploited
13,Bathinda,3374.24,1055.74,31.29,332.58,Over Exploited
16,Rupnagar,1376.53,724.28,52.62,320.31,Over Exploited
20,Sbs Nagar,1259.61,168.02,13.34,324.64,Over Exploited
23,Gurdaspur,2614.25,197.34,7.55,109.2,Over Exploited
5,Bikaner,30381.77,14440.01,47.53,1912.89,Over Exploited
15,Tonk,5881.74,911.14,15.49,1242.09,Over Exploited
19,Dungarpur,2634.13,2026.5,76.93,607.63,Over Exploited
23,Bundi,4240.18,462.53,10.91,1152.88,Over Exploited
25,Barmer,28578.58,1802.75,6.31,1263.04,Over Exploited
28,Hanumangarh,9579.6,6779.33,70.77,1128.02,Over Exploited
29,Banswara,3979.96,2019.81,50.75,1452.26,Over Exploited
Total,317010.74,46283.9,14.6,"17908.38
5.65",21084.64,Over Exploited
1,Ariyalur,1926.59,1639.13,85.08,287.46,Over Exploited
2,Chengalpattu,2424.15,1135.23,46.83,1288.92,Over Exploited
3,Chennai,446.28,106.80,23.93,17.71,Safe
4,Coimbatore,3604.51,417.15,11.57,268.61,Over Exploited
5,Cuddalore,3636.73,1212.40,33.34,333.78,Over Exploited
6,Dharmapuri,2856.00,640.86,22.44,732.90,Over Exploited
7,Dindigul,4877.41,453.59,9.30,1032.11,Over Exploited
8,Erode,3463.40,942.99,27.23,1153.54,Over Exploited
9,Kallakurichchi,2579.23,972.70,37.71,736.82,Over Exploited
13,Krishnagiri,3103.61,869.26,28.01,757.78,Over Exploited
14,Madurai,3256.47,1779.15,54.63,1013.73,Over Exploited
17,Namakkal,2928.10,208.26,7.11,187.04,Over Exploited
19,Pudukkottai,4427.94,3521.69,79.53,906.25,Over Exploited
24,Tenkasi,2442.44,734.10,30.06,562.91,Over Exploited
25,Thanjavur,3394.70,0.00,0.00,617.98,Over Exploited
27,Theni,1894.17,986.67,52.09,514.86,Over Exploited
28,Thiruvarur,2072.57,1068.28,51.54,0.00,Safe
29,Thoothukudi,4597.12,4242.76,92.29,354.36,Over Exploited
30,Tiruchirappalli,4036.10,1547.41,38.34,370.63,Over Exploited
1,Jagtial,2667.15,2296,86.08,371.15,Over Exploited
3,Kamareddy,3488.32,3200.49,91.75,287.83,Over Exploited
4,Medak,2545.57,1618.88,63.6,836.61,Over Exploited
6,Mahabubnagar,2542.63,1398.98,55.02,974.86,Over Exploited
7,Narayanpet,2318.11,1942.46,83.8,375.65,Over Exploited
10,Khammam,4281.59,3650.61,85.26,441.26,Over Exploited
12,Nalgonda,7046.73,5253.4,74.55,1341.56,Over Exploited
14,Rangareddy,4826.98,3449.5,71.46,1071.81,Over Exploited
15,Rajanna Siricilla,1731.39,1502.14,86.76,229.25,Over Exploited
19,Peddapalle,1940.64,1716.99,88.48,223.66,Over Exploited
20,Bhadradri Kothagudem,7108.43,6313.39,88.82,681.46,Over Exploited
21,Jangaon,2107.13,1814.06,86.09,114.81,Over Exploited
22,Jogulamba Gadwal,2603.69,2427.45,93.23,176.24,Over Exploited
23,Mahabubabad,3344.59,2964.62,88.64,379.98,Over Exploited
25,Medchal Malkajgiri,1038.07,354.96,34.19,432.93,Over Exploited
26,Nagarkurnool,6132.22,5766.41,94.03,365.81,Over Exploited
27,Nizamabad,4129.91,3064.85,74.21,1062.34,Over Exploited
28,Sangareddy,4110.61,3455.89,84.07,479.82,Over Exploited
29,Siddipet,3407.27,2375.25,69.71,862.34,Over Exploited
1,Jagtial,2667.15,2296,86.08,371.15,Over Exploited
3,Kamareddy,3488.32,3200.49,91.75,287.83,Over Exploited
4,Medak,2545.57,1618.88,63.6,836.61,Over Exploited
6,Mahabubnagar,2542.63,1398.98,55.02,974.86,Over Exploited
7,Narayanpet,2318.11,1942.46,83.8,375.65,Over Exploited
10,Khammam,4281.59,3650.61,85.26,441.26,Over Exploited
12,Nalgonda,7046.73,5253.4,74.55,1341.56,Over Exploited
14,Rangareddy,4826.98,3449.5,71.46,1071.81,Over Exploited
15,Rajanna Siricilla,1731.39,1502.14,86.76,229.25,Over Exploited
19,Peddapalle,1940.64,1716.99,88.48,223.66,Over Exploited
20,Bhadradri Kothagudem,7108.43,6313.39,88.82,681.46,Over Exploited
21,Jangaon,2107.13,1814.06,86.09,114.81,Over Exploited
22,Jogulamba Gadwal,2603.69,2427.45,93.23,176.24,Over Exploited
23,Mahabubabad,3344.59,2964.62,88.64,379.98,Over Exploited
25,Medchal Malkajgiri,1038.07,354.96,34.19,432.93,Over Exploited
26,Nagarkurnool,6132.22,5766.41,94.03,365.81,Over Exploited
27,Nizamabad,4129.91,3064.85,74.21,1062.34,Over Exploited
28,Sangareddy,4110.61,3455.89,84.07,479.82,Over Exploited
29,Siddipet,3407.27,2375.25,69.71,862.34,Over Exploited
2,Saharanpur,3689.41,887.86,24.07,1441,Over Exploited
3,Banda,4404.6,2159.49,49.03,2245.11,Over Exploited
6,Chandauli,1883.69,1676.45,89,207.24,Over Exploited
7,Mirzapur,2954.37,2408.24,81.51,332.24,Over Exploited
10,Kanpur Dehat,3237.37,2112.54,65.25,1124.83,Over Exploited
11,Chitrakoot,3006.65,1041.84,34.65,1410.8,Over Exploited
14,Jaunpur,3990.94,2709.55,67.89,1281.39,Over Exploited
18,Kaushambi,1780.01,484.65,27.23,1015.97,Over Exploited
24,Hathras,1837.99,327.4,17.81,556.14,Over Exploited
25,Budaun,4237.88,1138.23,26.86,2088.61,Over Exploited
26,Bulandshahar,3609.47,152.46,4.22,1258.17,Over Exploited
27,Amethi,2329.92,2068.95,88.8,260.97,Over Exploited
28,Bareilly,4120,3244.34,78.75,540.15,Over Exploited
30,Jhansi,4619.37,2644.95,57.26,1974.42,Over Exploited
7,NORTH WEST,154.36,121.37,78.6279,32.99,Safe
1,Andhra Pradesh,679,4,16,643,Over Exploited
2,Arunachal Pradesh,42,0,0,42,Safe
3,Assam,245,0,0,245,Over Exploited
4,Bihar,535,14,2,519,Over Exploited
5,Chhattisgarh,146,2,1,143,Over Exploited
6,Goa,12,0,0,12,Safe
7,Gujarat,252,7,12,233,Over Exploited
8,Haryana,143,6,5,132,Over Exploited
9,Himachal Pradesh,10,0,0,10,Safe
10,Jharkhand,263,0,1,262,Over Exploited
11,Karnataka,237,3,13,218,Over Exploited
12,Kerala,152,1,0,151,Over Exploited
13,Madhya Pradesh,317,1,2,314,Over Exploited
14,Maharashtra,359,22,0,331,Over Exploited
15,Manipur,9,0,0,9,Safe
16,Meghalaya,40,0,0,39,Safe
17,Mizoram,26,0,0,26,Safe
18,Nagaland,52,0,0,52,Safe
19,Odisha,314,0,0,314,Over Exploited
20,Punjab,153,5,0,148,Over Exploited
21,Rajasthan,302,4,5,293,Over Exploited
22,Sikkim,38,0,0,38,Safe
23,Tamil Nadu,313,18,21,274,Over Exploited
24,Telangana,620,9,76,527,Over Exploited
25,Tripura,59,0,0,59,Safe
26,Uttar Pradesh,836,22,12,802,Over Exploited
27,Uttarakhand,20,0,0,18,Safe
28,West Bengal,345,4,4,337,Over Exploited
29,Andaman And Nicobar,9,0,0,9,Safe
30,Chandigarh,1,1,0,0,Safe
32,Delhi,34,0,3,31,Safe
33,Jammu And Kashmir,149,0,0,149,Over Exploited
34,Lakshadweep,5,0,0,5,Safe
35,Puducherry,8,0,0,8,Safe
36,Ladakh,18,5,0,13,Safe
