sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
1,2,3,4,5,6,Safe
1,Araria,76581.72,44932.96,7485.44,31169.77,Over Exploited
2,Arwal,10594.86,6582.82,0,3973.38,Over Exploited
3,Aurangabad,49117.48,51355.76,1116.5,30936.05,Over Exploited
4,Banka,43835.04,16524.95,915.09,8954.02,Over Exploited
5,Begusarai,44245.15,3579.32,2724.84,5757.06,Over Exploited
6,Bhagalpur,58336.95,8802.45,6287.29,5317.43,Over Exploited
7,Bhojpur,47999.42,23694.1,1103.52,14948.8,Over Exploited
8,Buxar,30622.56,18544.19,626.77,12012.53,Over Exploited
9,Darbhanga,55273.13,9703.57,4990.37,7306.17,Over Exploited
10,East Champaran,90477.76,59410.82,5352.08,37885.32,Over Exploited
11,Gaya,92464.88,23670.48,2497.4,13752.93,Over Exploited
12,Gopalganj,46155.43,35273.25,1553.12,23429.26,Over Exploited
13,Jamui,34130.14,8889.05,1686.34,5053.15,Over Exploited
14,Jehanabad,17557.33,8232.53,462.46,6598.22,Over Exploited
15,Kaimur,49702.42,20753.34,900.77,11632.96,Over Exploited
16,Katihar,82627.76,19264.18,7209.24,14268.59,Over Exploited
17,Khagaria,39660.12,2210.63,1883.05,5238.35,Over Exploited
18,Kishanganj,53513,2825.82,5300.16,2807.64,Over Exploited
19,Lakhisarai,21472.95,11620.24,1279.31,7134.35,Over Exploited
20,Madhepura,38605.05,41279.07,3931.72,25022.32,Over Exploited
21,Madhubani,77162.85,33422.25,8011.77,23575.9,Over Exploited
22,Munger,26111.97,9830.39,1545.83,4118.05,Over Exploited
23,Muzaffarpur,74411.61,25605.83,4231.91,20002.28,Over Exploited
24,Nalanda,45991.18,9003.48,1283.24,7728.63,Over Exploited
25,Nawada,46357.36,12733.14,2056.28,8184,Over Exploited
26,Patna,75614.12,17499.1,1990.62,13281.99,Over Exploited
27,Purnea,74894.54,49309.87,8812.19,33751.91,Over Exploited
28,Rohtas,68382.86,32365.48,1554.07,16035.93,Over Exploited
29,Saharsa,42335.83,13402.96,4221.66,9459.72,Over Exploited
30,Samastipur,67879.57,10363.42,3001.88,7756.75,Over Exploited
31,Saran,55933.99,32419.73,2193.7,20610.92,Over Exploited
32,Sheikhpura,12609.23,2696.66,610.19,2090.8,Over Exploited
33,Sheohar,11894.64,3952.45,844.06,1728.44,Over Exploited
34,Sitamarhi,54419.65,5200.9,4163.59,3439.53,Over Exploited
35,Siwan,50257,32048.82,887.5,25045.59,Over Exploited
36,Supaul,45038.71,30919.77,4815.78,26282.44,Over Exploited
37,Vaishali,50503.4,17213.15,1783.69,11137.32,Over Exploited
38,West Champaran,91148.59,50081.11,4241.96,34746.37,Over Exploited
1,2,3,4,5,6,Safe
1,Araria,76581.72,44932.96,7485.44,31169.77,Over Exploited
2,Arwal,10594.86,6582.82,0,3973.38,Over Exploited
3,Aurangabad,49117.48,51355.76,1116.5,30936.05,Over Exploited
4,Banka,43835.04,16524.95,915.09,8954.02,Over Exploited
5,Begusarai,44245.15,3579.32,2724.84,5757.06,Over Exploited
6,Bhagalpur,58336.95,8802.45,6287.29,5317.43,Over Exploited
7,Bhojpur,47999.42,23694.1,1103.52,14948.8,Over Exploited
8,Buxar,30622.56,18544.19,626.77,12012.53,Over Exploited
9,Darbhanga,55273.13,9703.57,4990.37,7306.17,Over Exploited
10,East Champaran,90477.76,59410.82,5352.08,37885.32,Over Exploited
11,Gaya,92464.88,23670.48,2497.4,13752.93,Over Exploited
12,Gopalganj,46155.43,35273.25,1553.12,23429.26,Over Exploited
13,Jamui,34130.14,8889.05,1686.34,5053.15,Over Exploited
14,Jehanabad,17557.33,8232.53,462.46,6598.22,Over Exploited
15,Kaimur,49702.42,20753.34,900.77,11632.96,Over Exploited
16,Katihar,82627.76,19264.18,7209.24,14268.59,Over Exploited
17,Khagaria,39660.12,2210.63,1883.05,5238.35,Over Exploited
18,Kishanganj,53513,2825.82,5300.16,2807.64,Over Exploited
19,Lakhisarai,21472.95,11620.24,1279.31,7134.35,Over Exploited
